,latitude,longitude,cities,countrycode,kmeans_label,db_label
616,37.765209999999996,-122.24163999999999,Alameda,US,0,0
617,45.748459999999994,4.84671,Lyon,FR,2,2
618,35.14953,-90.04898,Memphis,US,0,0
619,26.46146,-80.07282,Delray Beach,US,0,0
620,51.413340000000005,-0.36701,Hampton,GB,2,2
622,43.36679,-80.94972,Stratford,CA,0,0
623,41.68338,-86.25001,South Bend,US,0,0
624,31.70487,35.203759999999996,Bethlehem,PS,2,4
625,41.52364,-90.57764,Davenport,US,0,0
626,33.636109999999995,116.97888999999999,Suzhou,CN,1,1
627,41.36838,-82.10765,Elyria,US,0,0
629,41.694109999999995,44.83368,Tbilisi,GE,2,4
632,36.728359999999995,-76.58496,Suffolk,US,0,0
633,40.60843,-75.49018000000001,Allentown,US,0,0
634,52.13459,-0.46631999999999996,Bedford,GB,2,2
635,29.31506,120.07676000000001,Yiwu,CN,1,1
636,-5.90181,-76.12234000000001,Yurimaguas,PE,3,0
637,38.77428,-76.07633,Easton,US,0,0
638,43.51681,-79.88294,Milton,CA,0,0
639,4.26425,-75.93085,Sevilla,CO,3,0
640,36.82523,-119.70291999999999,Clovis,US,0,0
641,32.72541,-97.32085,Fort Worth,US,0,0
642,26.52535,-80.06643000000001,Boynton Beach,US,0,0
643,-1.0545799999999999,-80.45445,Portoviejo,EC,3,0
644,23.58413,58.40778,Muscat,OM,2,4
645,31.769040000000004,35.21633,Jerusalem,IL,2,4
646,14.195279999999999,120.87693999999999,Indang,PH,1,1
647,-18.14161,178.44149,Suva,FJ,1,6
648,-27.034240000000004,-65.30196,Bella Vista,AR,3,0
649,33.913709999999995,-98.49339,Wichita Falls,US,0,0
